"N...Region";"Comuna";"Region";"Comuna.1";"Poblacion";"Casos.Nuevos";"Contactos.Nuevos";"X.";"SE"
8;"Concepcion";"Biobio";"Concepcion";238092;"71";"409";"5.8";94
6;"Paredones";"Del Libertador General Bernardo OHiggins";"Paredones";6349;"11";"63";"5.7";94
6;"Donihue";"Del Libertador General Bernardo OHiggins";"Donihue";22700;"3";"17";"5.7";94
1;"Alto Hospicio";"Tarapaca";"Alto Hospicio";129999;"37";"209";"5.6";94
6;"San Vicente";"Del Libertador General Bernardo OHiggins";"San Vicente";50617;"8";"45";"5.6";94
7;"Colbun";"Maule";"Colbun";22565;"7";"39";"5.6";94
5;"Villa Alemana";"Valparaiso";"Villa Alemana";139310;"23";"128";"5.6";94
9;"Nueva Imperial";"La Araucania";"Nueva Imperial";33777;"6";"33";"5.5";94
2;"Antofagasta";"Antofagasta";"Antofagasta";425725;"171";"937";"5.5";94
7;"Yerbas Buenas";"Maule";"Yerbas Buenas";19200;"10";"54";"5.4";94
16;"San Ignacio";"Nuble";"San Ignacio";16624;"5";"27";"5.4";94
8;"Los Alamos";"Biobio";"Los Alamos";22524;"5";"27";"5.4";94
8;"Cabrero";"Biobio";"Cabrero";30725;"3";"16";"5.3";94
3;"Vallenar";"Atacama";"Vallenar";57009;"13";"69";"5.3";94
10;"Rio Negro";"Los Lagos";"Rio Negro";14275;"10";"53";"5.3";94
5;"Petorca";"Valparaiso";"Petorca";10558;"4";"21";"5.3";94
5;"Panquehue";"Valparaiso";"Panquehue";7633;"5";"26";"5.2";94
7;"San Javier";"Maule";"San Javier";49451;"16";"83";"5.2";94
8;"Los Angeles";"Biobio";"Los Angeles";218515;"135";"699";"5.2";94
7;"Villa Alegre";"Maule";"Villa Alegre";17512;"6";"31";"5.2";94
9;"Temuco";"La Araucania";"Temuco";302931;"66";"341";"5.2";94
8;"Santa Barbara";"Biobio";"Santa Barbara";14592;"11";"56";"5.1";94
16;"San Carlos";"Nuble";"San Carlos";56252;"27";"137";"5.1";94
2;"Mejillones";"Antofagasta";"Mejillones";14776;"61";"305";"5";94
6;"Codegua";"Del Libertador General Bernardo OHiggins";"Codegua";14096;"12";"60";"5";94
6;"Peumo";"Del Libertador General Bernardo OHiggins";"Peumo";14952;"1";"5";"5";94
7;"Hualane";"Maule";"Hualane";10222;"5";"25";"5";94
9;"Cholchol";"La Araucania";"Cholchol";12341;"1";"5";"5";94
5;"Vina del Mar";"Valparaiso";"Vina del Mar";361371;"112";"556";"5";94
8;"Tome";"Biobio";"Tome";58729;"17";"83";"4.9";94
7;"Parral";"Maule";"Parral";44544;"61";"294";"4.8";94
8;"Curanilahue";"Biobio";"Curanilahue";33892;"10";"48";"4.8";94
7;"Retiro";"Maule";"Retiro";21071;"48";"230";"4.8";94
9;"Padre Las Casas";"La Araucania";"Padre Las Casas";82110;"9";"43";"4.8";94
16;"Quirihue";"Nuble";"Quirihue";12192;"4";"19";"4.8";94
10;"Osorno";"Los Lagos";"Osorno";173410;"49";"232";"4.7";94
3;"Tierra Amarilla";"Atacama";"Tierra Amarilla";14312;"10";"47";"4.7";94
6;"Rancagua";"Del Libertador General Bernardo OHiggins";"Rancagua";265211;"123";"568";"4.6";94
6;"Machali";"Del Libertador General Bernardo OHiggins";"Machali";59913;"15";"69";"4.6";94
13;"Renca";"Metropolitana";"Renca";160847;"105";"481";"4.6";94
8;"Tucapel";"Biobio";"Tucapel";15205;"7";"32";"4.6";94
10;"Puyehue";"Los Lagos";"Puyehue";11787;"7";"32";"4.6";94
7;"Linares";"Maule";"Linares";101073;"75";"341";"4.5";94
16;"Chillan";"Nuble";"Chillan";198624;"89";"402";"4.5";94
7;"Curico";"Maule";"Curico";163626;"37";"167";"4.5";94
1;"Pica";"Tarapaca";"Pica";5958;"4";"18";"4.5";94
4;"Combarbala";"Coquimbo";"Combarbala";13884;"2";"9";"4.5";94
6;"Peralillo";"Del Libertador General Bernardo OHiggins";"Peralillo";11848;"2";"9";"4.5";94
11;"Coyhaique";"Aisen";"Coyhaique";61210;"24";"106";"4.4";94
5;"Santo Domingo";"Valparaiso";"Santo Domingo";11934;"5";"22";"4.4";94
5;"Zapallar";"Valparaiso";"Zapallar";7994;"8";"35";"4.4";94
15;"Arica";"Arica y Parinacota";"Arica";247552;"131";"571";"4.4";94
7;"Maule";"Maule";"Maule";60000;"20";"87";"4.4";94
14;"Valdivia";"Los Rios";"Valdivia";176774;"61";"265";"4.3";94
4;"Los Vilos";"Coquimbo";"Los Vilos";23374;"3";"13";"4.3";94
5;"La Cruz";"Valparaiso";"La Cruz";25321;"3";"13";"4.3";94
10;"Puerto Montt";"Los Lagos";"Puerto Montt";269398;"63";"273";"4.3";94
14;"Mafil";"Los Rios";"Mafil";7389;"10";"43";"4.3";94
14;"Los Lagos";"Los Rios";"Los Lagos";20518;"9";"38";"4.2";94
2;"Calama";"Antofagasta";"Calama";190336;"53";"221";"4.2";94
8;"Arauco";"Biobio";"Arauco";38679;"7";"29";"4.1";94
5;"San Antonio";"Valparaiso";"San Antonio";96761;"106";"439";"4.1";94
1;"Iquique";"Tarapaca";"Iquique";223463;"130";"534";"4.1";94
5;"Quintero";"Valparaiso";"Quintero";36135;"23";"94";"4.1";94
5;"Nogales";"Valparaiso";"Nogales";23490;"3";"12";"4";94
16;"Cobquecura";"Nuble";"Cobquecura";5275;"1";"4";"4";94
13;"Maria Pinto";"Metropolitana";"Maria Pinto";14926;"20";"79";"4";94
5;"Quillota";"Valparaiso";"Quillota";97572;"40";"154";"3.9";94
10;"Frutillar";"Los Lagos";"Frutillar";20223;"6";"23";"3.8";94
14;"La Union";"Los Rios";"La Union";39538;"25";"95";"3.8";94
5;"Valparaiso";"Valparaiso";"Valparaiso";315732;"110";"413";"3.8";94
5;"Los Andes";"Valparaiso";"Los Andes";68093;"12";"45";"3.8";94
6;"Mostazal";"Del Libertador General Bernardo OHiggins";"Mostazal";27462;"22";"82";"3.7";94
5;"Algarrobo";"Valparaiso";"Algarrobo";15174;"13";"48";"3.7";94
8;"Canete";"Biobio";"Canete";37003;"34";"125";"3.7";94
5;"El Quisco";"Valparaiso";"El Quisco";17742;"15";"55";"3.7";94
5;"Hijuelas";"Valparaiso";"Hijuelas";19099;"3";"11";"3.7";94
8;"Negrete";"Biobio";"Negrete";10429;"3";"11";"3.7";94
8;"San Pedro de la Paz";"Biobio";"San Pedro de la Paz";145906;"38";"139";"3.7";94
NA;"";"";"";NA;"3267";"17444";"5.339";94
13;"Lampa";"Metropolitana";"Lampa";126898;"35";"125";"3.6";94
6;"Pichilemu";"Del Libertador General Bernardo OHiggins";"Pichilemu";17882;"9";"32";"3.6";94
8;"Yumbel";"Biobio";"Yumbel";22132;"2";"7";"3.5";94
5;"La Ligua";"Valparaiso";"La Ligua";37739;"70";"243";"3.5";94
9;"Angol";"La Araucania";"Angol";56058;"27";"93";"3.4";94
5;"Concon";"Valparaiso";"Concon";45889;"16";"55";"3.4";94
13;"Conchali";"Metropolitana";"Conchali";139195;"110";"376";"3.4";94
13;"Vitacura";"Metropolitana";"Vitacura";96774;"113";"386";"3.4";94
1;"Pozo Almonte";"Tarapaca";"Pozo Almonte";17395;"10";"34";"3.4";94
7;"Pelarco";"Maule";"Pelarco";9083;"5";"17";"3.4";94
9;"Lautaro";"La Araucania";"Lautaro";40746;"13";"44";"3.4";94
13;"Melipilla";"Metropolitana";"Melipilla";141612;"58";"196";"3.4";94
7;"Cauquenes";"Maule";"Cauquenes";44143;"24";"81";"3.4";94
13;"Pedro Aguirre Cerda";"Metropolitana";"Pedro Aguirre Cerda";107803;"92";"309";"3.4";94
6;"Requinoa";"Del Libertador General Bernardo OHiggins";"Requinoa";30371;"15";"50";"3.3";94
16;"Quillon";"Nuble";"Quillon";18777;"6";"20";"3.3";94
13;"El Bosque";"Metropolitana";"El Bosque";172000;"134";"438";"3.3";94
13;"Lo Prado";"Metropolitana";"Lo Prado";104403;"117";"382";"3.3";94
13;"Tiltil";"Metropolitana";"Tiltil";21477;"4";"13";"3.3";94
6;"Chepica";"Del Libertador General Bernardo OHiggins";"Chepica";15925;"8";"26";"3.3";94
7;"Rio Claro";"Maule";"Rio Claro";14753;"4";"13";"3.3";94
10;"Ancud";"Los Lagos";"Ancud";42458;"4";"13";"3.3";94
10;"Chaiten";"Los Lagos";"Chaiten";5020;"4";"13";"3.3";94
5;"Quilpue";"Valparaiso";"Quilpue";167085;"63";"204";"3.2";94
8;"Lebu";"Biobio";"Lebu";27100;"13";"42";"3.2";94
13;"Maipu";"Metropolitana";"Maipu";578605;"247";"781";"3.2";94
13;"La Pintana";"Metropolitana";"La Pintana";189335;"100";"314";"3.1";94
13;"Huechuraba";"Metropolitana";"Huechuraba";112528;"81";"254";"3.1";94
13;"Independencia";"Metropolitana";"Independencia";142065;"77";"241";"3.1";94
13;"Penalolen";"Metropolitana";"Penalolen";266798;"124";"384";"3.1";94
13;"Isla de Maipo";"Metropolitana";"Isla de Maipo";40171;"28";"86";"3.1";94
13;"Buin";"Metropolitana";"Buin";109641;"51";"156";"3.1";94
5;"Limache";"Valparaiso";"Limache";49931;"4";"12";"3";94
5;"Olmue";"Valparaiso";"Olmue";19266;"3";"9";"3";94
