"N...Region";"Comuna";"Region";"Comuna.1";"Poblacion";"Casos.Nuevos";"Contactos.Nuevos";"X.";"SE"
7;"Curepto";"Maule";"Curepto";9426;"6";"15";"2.5";83
10;"Puerto Montt";"Los Lagos";"Puerto Montt";269398;"138";"345";"2.5";83
10;"Rio Negro";"Los Lagos";"Rio Negro";14275;"6";"15";"2.5";83
13;"Quilicura";"Metropolitana";"Quilicura";254694;"81";"201";"2.5";83
13;"Talagante";"Metropolitana";"Talagante";81838;"25";"62";"2.5";83
13;"Curacavi";"Metropolitana";"Curacavi";36430;"36";"89";"2.5";83
1;"Pozo Almonte";"Tarapaca";"Pozo Almonte";17395;"7";"17";"2.4";83
6;"Mostazal";"Del Libertador General Bernardo OHiggins";"Mostazal";27462;"7";"17";"2.4";83
4;"Vicuna";"Coquimbo";"Vicuna";29741;"12";"29";"2.4";83
7;"Cauquenes";"Maule";"Cauquenes";44143;"48";"116";"2.4";83
3;"Chanaral";"Atacama";"Chanaral";13164;"5";"12";"2.4";83
7;"Rio Claro";"Maule";"Rio Claro";14753;"8";"19";"2.4";83
10;"Maullin";"Los Lagos";"Maullin";14894;"8";"19";"2.4";83
13;"Quinta Normal";"Metropolitana";"Quinta Normal";136368;"85";"200";"2.4";83
12;"Punta Arenas";"Magallanes y la Antartica";"Punta Arenas";141984;"17";"40";"2.35";83
10;"San Pablo";"Los Lagos";"San Pablo";10553;"3";"7";"2.3";83
13;"San Ramon";"Metropolitana";"San Ramon";86510;"52";"121";"2.3";83
8;"Laja";"Biobio";"Laja";23873;"16";"37";"2.3";83
13;"nunoa";"Metropolitana";"nunoa";250192;"72";"165";"2.3";83
10;"Chonchi";"Los Lagos";"Chonchi";16013;"11";"25";"2.3";83
13;"Renca";"Metropolitana";"Renca";160847;"109";"240";"2.2";83
9;"Carahue";"La Araucania";"Carahue";25486;"10";"22";"2.2";83
13;"Isla de Maipo";"Metropolitana";"Isla de Maipo";40171;"11";"24";"2.2";83
13;"Paine";"Metropolitana";"Paine";82766;"72";"156";"2.2";83
13;"Macul";"Metropolitana";"Macul";134635;"68";"143";"2.1";83
13;"Independencia";"Metropolitana";"Independencia";142065;"57";"119";"2.1";83
4;"Paiguano";"Coquimbo";"Paiguano";4675;"5";"10";"2";83
5;"Los Andes";"Valparaiso";"Los Andes";68093;"42";"84";"2";83
13;"Calera de Tango";"Metropolitana";"Calera de Tango";28525;"8";"16";"2";83
6;"Chepica";"Del Libertador General Bernardo OHiggins";"Chepica";15925;"2";"4";"2";83
6;"Malloa";"Del Libertador General Bernardo OHiggins";"Malloa";14163;"2";"4";"2";83
6;"Nancagua";"Del Libertador General Bernardo OHiggins";"Nancagua";19141;"7";"14";"2";83
16;"San Fabian";"Nuble";"San Fabian";4654;"1";"2";"2";83
13;"La Reina";"Metropolitana";"La Reina";100252;"63";"121";"1.9";83
5;"Llaillay";"Valparaiso";"Llaillay";26533;"23";"42";"1.8";83
3;"Tierra Amarilla";"Atacama";"Tierra Amarilla";14312;"15";"27";"1.8";83
10;"Los Muermos";"Los Lagos";"Los Muermos";17817;"10";"18";"1.8";83
9;"Galvarino";"La Araucania";"Galvarino";12633;"7";"12";"1.7";83
8;"Tome";"Biobio";"Tome";58729;"16";"27";"1.7";83
10;"Llanquihue";"Los Lagos";"Llanquihue";18621;"40";"67";"1.7";83
3;"Diego de Almagro";"Atacama";"Diego de Almagro";14358;"11";"18";"1.6";83
13;"El Monte";"Metropolitana";"El Monte";40014;"27";"44";"1.6";83
9;"Loncoche";"La Araucania";"Loncoche";24739;"16";"24";"1.5";83
14;"Mafil";"Los Rios";"Mafil";7389;"7";"10";"1.4";83
5;"Santo Domingo";"Valparaiso";"Santo Domingo";11934;"12";"16";"1.3";83
12;"Porvenir";"Magallanes y la Antartica";"Porvenir";7323;"5";"6";"1.2";83
5;"Zapallar";"Valparaiso";"Zapallar";7994;"6";"7";"1.2";83
10;"San Juan de la Costa";"Los Lagos";"San Juan de la Costa";7639;"7";"8";"1.1";83
1;"Camina";"Tarapaca";"Camina";1375;"1";"1";"1";83
3;"Huasco";"Atacama";"Huasco";11264;"2";"2";"1";83
6;"Placilla";"Del Libertador General Bernardo OHiggins";"Placilla";9164;"1";"1";"1";83
16;"Treguaco";"Nuble";"Treguaco";5696;"2";"2";"1";83
6;"Pumanque";"Del Libertador General Bernardo OHiggins";"Pumanque";3531;"7";"6";"0.9";83
2;"Taltal";"Antofagasta";"Taltal";13657;"6";"5";"0.8";83
2;"Tocopilla";"Antofagasta";"Tocopilla";28079;"3";"1";"0.3";83
15;"Camarones";"Arica y Parinacota";"Camarones";1233;"-";"-";NA;83
15;"General Lagos";"Arica y Parinacota";"General Lagos";810;"-";"-";NA;83
1;"Colchane";"Tarapaca";"Colchane";1583;"-";"-";NA;83
1;"Huara";"Tarapaca";"Huara";3000;"-";"-";NA;83
2;"Maria Elena";"Antofagasta";"Maria Elena";6814;"-";"-";NA;83
2;"Ollagüe";"Antofagasta";"Ollagüe";287;"-";"-";NA;83
2;"Sierra Gorda";"Antofagasta";"Sierra Gorda";1746;"-";"-";NA;83
3;"Alto del Carmen";"Atacama";"Alto del Carmen";5729;"-";"2";NA;83
4;"Andacollo";"Coquimbo";"Andacollo";11791;"-";"4";NA;83
4;"Rio Hurtado";"Coquimbo";"Rio Hurtado";4372;"-";"-";NA;83
5;"Isla de Pascua";"Valparaiso";"Isla de Pascua";8277;"-";"-";NA;83
5;"Juan Fernandez";"Valparaiso";"Juan Fernandez";1033;"-";"-";NA;83
6;"Coinco";"Del Libertador General Bernardo OHiggins";"Coinco";7831;"-";"1";NA;83
6;"Coltauco";"Del Libertador General Bernardo OHiggins";"Coltauco";21263;"-";"-";NA;83
6;"Litueche";"Del Libertador General Bernardo OHiggins";"Litueche";6765;"-";"13";NA;83
6;"Lolol";"Del Libertador General Bernardo OHiggins";"Lolol";7289;"-";"1";NA;83
6;"Navidad";"Del Libertador General Bernardo OHiggins";"Navidad";6904;"2";"-";NA;83
6;"Quinta de Tilcoco";"Del Libertador General Bernardo OHiggins";"Quinta de Tilcoco";13877;"-";"2";NA;83
7;"Chanco";"Maule";"Chanco";9331;"-";"6";NA;83
7;"Rauco";"Maule";"Rauco";11248;"-";"5";NA;83
16;"Cobquecura";"Nuble";"Cobquecura";5275;"-";"-";NA;83
16;"Ninhue";"Nuble";"Ninhue";5414;"-";"4";NA;83
16;"Pemuco";"Nuble";"Pemuco";8639;"-";"1";NA;83
16;"Quirihue";"Nuble";"Quirihue";12192;"-";"-";NA;83
16;"Ranquil";"Nuble";"Ranquil";6261;"-";"2";NA;83
8;"Antuco";"Biobio";"Antuco";4306;"-";"1";NA;83
8;"Quilaco";"Biobio";"Quilaco";4179;"-";"1";NA;83
9;"Curacautin";"La Araucania";"Curacautin";18178;"-";"6";NA;83
9;"Ercilla";"La Araucania";"Ercilla";8458;"-";"16";NA;83
10;"Chaiten";"Los Lagos";"Chaiten";5020;"-";"-";NA;83
10;"Cochamo";"Los Lagos";"Cochamo";4006;"-";"3";NA;83
10;"Curaco de Velez";"Los Lagos";"Curaco de Velez";4066;"-";"-";NA;83
10;"Futaleufu";"Los Lagos";"Futaleufu";2806;"-";"-";NA;83
10;"Quinchao";"Los Lagos";"Quinchao";8298;"-";"-";NA;83
11;"Cisnes";"Aisen";"Cisnes";5828;"-";"2";NA;83
11;"Cochrane";"Aisen";"Cochrane";3685;"-";"-";NA;83
11;"Guaitecas";"Aisen";"Guaitecas";1599;"-";"-";NA;83
11;"Lago Verde";"Aisen";"Lago Verde";920;"-";"-";NA;83
11;"O'Higgins";"Aisen";"O'Higgins";661;"-";"-";NA;83
11;"Rio Ibanez";"Aisen";"Rio Ibanez";2699;"-";"-";NA;83
11;"Tortel";"Aisen";"Tortel";572;"-";"-";NA;83
12;"Antartica";"Magallanes y la Antartica";"Antartica";137;"-";"-";NA;83
12;"Cabo de Hornos";"Magallanes y la Antartica";"Cabo de Hornos";1983;"-";"-";NA;83
12;"Laguna Blanca";"Magallanes y la Antartica";"Laguna Blanca";264;"-";"-";NA;83
12;"Primavera";"Magallanes y la Antartica";"Primavera";694;"-";"-";NA;83
12;"Rio Verde";"Magallanes y la Antartica";"Rio Verde";211;"-";"-";NA;83
12;"San Gregorio";"Magallanes y la Antartica";"San Gregorio";681;"-";"-";NA;83
12;"Timaukel";"Magallanes y la Antartica";"Timaukel";282;"-";"-";NA;83
12;"Torres del Paine";"Magallanes y la Antartica";"Torres del Paine";1021;"-";"-";NA;83
11;"Cisnes";"Aisen";"Cisnes";5828;"1";"16";"16";82
9;"Lumaco";"La Araucania";"Lumaco";10050;"1";"14";"14";82
8;"Quilleco";"Biobio";"Quilleco";10032;"2";"27";"13.5";82
9;"Cunco";"La Araucania";"Cunco";18055;"6";"69";"11.5";82
16;"El Carmen";"Nuble";"El Carmen";12334;"2";"19";"9.5";82
5;"San Esteban";"Valparaiso";"San Esteban";20643;"4";"36";"9";82
6;"Nancagua";"Del Libertador General Bernardo OHiggins";"Nancagua";19141;"1";"9";"9";82
6;"Quinta de Tilcoco";"Del Libertador General Bernardo OHiggins";"Quinta de Tilcoco";13877;"1";"8";"8";82
2;"Taltal";"Antofagasta";"Taltal";13657;"1";"8";"8";82
14;"Mafil";"Los Rios";"Mafil";7389;"1";"8";"8";82
7;"Empedrado";"Maule";"Empedrado";4206;"1";"8";"8";82
9;"Puren";"La Araucania";"Puren";12188;"8";"62";"7.8";82
9;"Ercilla";"La Araucania";"Ercilla";8458;"8";"60";"7.5";82
13;"Talagante";"Metropolitana";"Talagante";81838;"12";"78";"6.5";82
8;"Hualqui";"Biobio";"Hualqui";26201;"22";"143";"6.5";82
5;"Casablanca";"Valparaiso";"Casablanca";29170;"9";"58";"6.4";82
8;"Canete";"Biobio";"Canete";37003;"14";"89";"6.4";82
6;"Chepica";"Del Libertador General Bernardo OHiggins";"Chepica";15925;"1";"6";"6";82
16;"Pinto";"Nuble";"Pinto";11880;"10";"60";"6";82
12;"Natales";"Magallanes y la Antartica";"Natales";23782;"6";"35";"5.83";82
8;"Yumbel";"Biobio";"Yumbel";22132;"8";"46";"5.8";82
9;"Saavedra";"La Araucania";"Saavedra";12793;"8";"46";"5.8";82
6;"Olivar";"Del Libertador General Bernardo OHiggins";"Olivar";14624;"3";"17";"5.7";82
8;"Hualpen";"Biobio";"Hualpen";97273;"68";"378";"5.6";82
1;"Pozo Almonte";"Tarapaca";"Pozo Almonte";17395;"4";"22";"5.5";82
10;"Puerto Octay";"Los Lagos";"Puerto Octay";9192;"2";"11";"5.5";82
8;"Curanilahue";"Biobio";"Curanilahue";33892;"17";"93";"5.5";82
6;"Peralillo";"Del Libertador General Bernardo OHiggins";"Peralillo";11848;"5";"27";"5.4";82
8;"Chiguayante";"Biobio";"Chiguayante";91180;"23";"122";"5.3";82
8;"Contulmo";"Biobio";"Contulmo";6330;"22";"115";"5.2";82
8;"Cabrero";"Biobio";"Cabrero";30725;"18";"93";"5.2";82
4;"Punitaqui";"Coquimbo";"Punitaqui";12165;"7";"36";"5.1";82
9;"Collipulli";"La Araucania";"Collipulli";26148;"8";"41";"5.1";82
5;"Catemu";"Valparaiso";"Catemu";15213;"8";"41";"5.1";82
4;"Ovalle";"Coquimbo";"Ovalle";121269;"51";"258";"5.1";82
4;"Monte Patria";"Coquimbo";"Monte Patria";32527;"20";"101";"5.1";82
7;"Molina";"Maule";"Molina";49800;"9";"45";"5";82
6;"Mostazal";"Del Libertador General Bernardo OHiggins";"Mostazal";27462;"5";"25";"5";82
13;"Tiltil";"Metropolitana";"Tiltil";21477;"5";"25";"5";82
8;"Alto Biobio";"Biobio";"Alto Biobio";6775;"1";"5";"5";82
10;"Puqueldon";"Los Lagos";"Puqueldon";4201;"1";"5";"5";82
8;"Arauco";"Biobio";"Arauco";38679;"52";"250";"4.8";82
9;"Traiguen";"La Araucania";"Traiguen";19314;"10";"48";"4.8";82
2;"Calama";"Antofagasta";"Calama";190336;"49";"234";"4.8";82
7;"Rauco";"Maule";"Rauco";11248;"4";"19";"4.8";82
9;"Curarrehue";"La Araucania";"Curarrehue";7802;"11";"52";"4.7";82
4;"La Serena";"Coquimbo";"La Serena";249656;"126";"595";"4.7";82
11;"Aisen";"Aisen";"Aisen";25002;"6";"28";"4.7";82
10;"Palena";"Los Lagos";"Palena";1827;"6";"28";"4.7";82
9;"Pitrufquen";"La Araucania";"Pitrufquen";26096;"14";"64";"4.6";82
8;"Concepcion";"Biobio";"Concepcion";238092;"143";"651";"4.6";82
8;"Santa Barbara";"Biobio";"Santa Barbara";14592;"13";"59";"4.5";82
4;"Coquimbo";"Coquimbo";"Coquimbo";256735;"114";"514";"4.5";82
3;"Huasco";"Atacama";"Huasco";11264;"2";"9";"4.5";82
14;"Lago Ranco";"Los Rios";"Lago Ranco";10292;"24";"108";"4.5";82
7;"Chanco";"Maule";"Chanco";9331;"2";"9";"4.5";82
8;"Tucapel";"Biobio";"Tucapel";15205;"19";"85";"4.5";82
4;"Combarbala";"Coquimbo";"Combarbala";13884;"17";"76";"4.5";82
6;"Las Cabras";"Del Libertador General Bernardo OHiggins";"Las Cabras";26749;"5";"22";"4.4";82
4;"Los Vilos";"Coquimbo";"Los Vilos";23374;"5";"22";"4.4";82
6;"Donihue";"Del Libertador General Bernardo OHiggins";"Donihue";22700;"11";"48";"4.4";82
6;"Pichidegua";"Del Libertador General Bernardo OHiggins";"Pichidegua";20743;"6";"26";"4.3";82
10;"Hualaihue";"Los Lagos";"Hualaihue";9525;"6";"26";"4.3";82
6;"Coinco";"Del Libertador General Bernardo OHiggins";"Coinco";7831;"3";"13";"4.3";82
7;"San Javier";"Maule";"San Javier";49451;"19";"82";"4.3";82
12;"Punta Arenas";"Magallanes y la Antartica";"Punta Arenas";141984;"18";"77";"4.28";82
10;"Frutillar";"Los Lagos";"Frutillar";20223;"11";"47";"4.3";82
9;"Villarrica";"La Araucania";"Villarrica";59103;"58";"245";"4.2";82
16;"San Carlos";"Nuble";"San Carlos";56252;"34";"143";"4.2";82
10;"Queilen";"Los Lagos";"Queilen";5543;"5";"21";"4.2";82
16;"San Fabian";"Nuble";"San Fabian";4654;"10";"42";"4.2";82
9;"Gorbea";"La Araucania";"Gorbea";15148;"6";"25";"4.2";82
13;"Lo Barnechea";"Metropolitana";"Lo Barnechea";124076;"57";"237";"4.2";82
14;"Mariquina";"Los Rios";"Mariquina";23250;"13";"54";"4.2";82
9;"Vilcun";"La Araucania";"Vilcun";30766;"27";"112";"4.1";82
9;"Pucon";"La Araucania";"Pucon";29782;"25";"103";"4.1";82
6;"Chimbarongo";"Del Libertador General Bernardo OHiggins";"Chimbarongo";37696;"10";"41";"4.1";82
8;"Lebu";"Biobio";"Lebu";27100;"20";"82";"4.1";82
15;"Arica";"Arica y Parinacota";"Arica";247552;"115";"471";"4.1";82
7;"Sagrada Familia";"Maule";"Sagrada Familia";19469;"11";"45";"4.1";82
9;"Lonquimay";"La Araucania";"Lonquimay";11049;"27";"110";"4.1";82
8;"Laja";"Biobio";"Laja";23873;"7";"28";"4";82
8;"Negrete";"Biobio";"Negrete";10429;"4";"16";"4";82
5;"Panquehue";"Valparaiso";"Panquehue";7633;"1";"4";"4";82
9;"Los Sauces";"La Araucania";"Los Sauces";7517;"2";"8";"4";82
6;"Litueche";"Del Libertador General Bernardo OHiggins";"Litueche";6765;"3";"12";"4";82
4;"Paiguano";"Coquimbo";"Paiguano";4675;"1";"4";"4";82
8;"San Rosendo";"Biobio";"San Rosendo";3611;"2";"8";"4";82
9;"Padre Las Casas";"La Araucania";"Padre Las Casas";82110;"48";"190";"4";82
7;"Constitucion";"Maule";"Constitucion";50348;"27";"106";"3.9";82
4;"Salamanca";"Coquimbo";"Salamanca";29110;"11";"43";"3.9";82
8;"San Pedro de la Paz";"Biobio";"San Pedro de la Paz";145906;"63";"245";"3.9";82
9;"Angol";"La Araucania";"Angol";56058;"23";"89";"3.9";82
4;"Canela";"Coquimbo";"Canela";9546;"7";"27";"3.9";82
7;"Pelluhue";"Maule";"Pelluhue";8092;"6";"23";"3.8";82
5;"Petorca";"Valparaiso";"Petorca";10558;"16";"61";"3.8";82
16;"Portezuelo";"Nuble";"Portezuelo";4940;"5";"19";"3.8";82
8;"Nacimiento";"Biobio";"Nacimiento";27944;"9";"34";"3.8";82
10;"Castro";"Los Lagos";"Castro";47607;"29";"109";"3.8";82
9;"Lautaro";"La Araucania";"Lautaro";40746;"20";"75";"3.8";82
16;"niquen";"Nuble";"niquen";11567;"8";"30";"3.8";82
5;"Quilpue";"Valparaiso";"Quilpue";167085;"83";"311";"3.7";82
5;"San Antonio";"Valparaiso";"San Antonio";96761;"61";"228";"3.7";82
4;"Vicuna";"Coquimbo";"Vicuna";29741;"15";"56";"3.7";82
10;"Purranque";"Los Lagos";"Purranque";21080;"14";"52";"3.7";82
8;"Los Angeles";"Biobio";"Los Angeles";218515;"78";"288";"3.7";82
5;"Quintero";"Valparaiso";"Quintero";36135;"13";"48";"3.7";82
9;"Tolten";"La Araucania";"Tolten";10055;"12";"44";"3.7";82
9;"Victoria";"La Araucania";"Victoria";35467;"14";"51";"3.6";82
7;"Yerbas Buenas";"Maule";"Yerbas Buenas";19200;"11";"40";"3.6";82
8;"Tirua";"Biobio";"Tirua";11019;"38";"138";"3.6";82
5;"Puchuncavi";"Valparaiso";"Puchuncavi";20071;"8";"29";"3.6";82
9;"Perquenco";"La Araucania";"Perquenco";7223;"5";"18";"3.6";82
10;"Chonchi";"Los Lagos";"Chonchi";16013;"12";"43";"3.6";82
6;"Graneros";"Del Libertador General Bernardo OHiggins";"Graneros";36504;"7";"25";"3.6";82
8;"Coronel";"Biobio";"Coronel";125829;"99";"352";"3.6";82
10;"Fresia";"Los Lagos";"Fresia";12656;"9";"32";"3.6";82
5;"Nogales";"Valparaiso";"Nogales";23490;"21";"74";"3.5";82
5;"Quillota";"Valparaiso";"Quillota";97572;"61";"214";"3.5";82
13;"San Jose de Maipo";"Metropolitana";"San Jose de Maipo";18644;"4";"14";"3.5";82
10;"Los Muermos";"Los Lagos";"Los Muermos";17817;"6";"21";"3.5";82
10;"Puyehue";"Los Lagos";"Puyehue";11787;"4";"14";"3.5";82
6;"Pumanque";"Del Libertador General Bernardo OHiggins";"Pumanque";3531;"2";"7";"3.5";82
13;"Lo Espejo";"Metropolitana";"Lo Espejo";103865;"53";"185";"3.5";82
5;"Vina del Mar";"Valparaiso";"Vina del Mar";361371;"196";"682";"3.5";82
7;"Longavi";"Maule";"Longavi";32810;"13";"45";"3.5";82
13;"Las Condes";"Metropolitana";"Las Condes";330759;"98";"339";"3.5";82
16;"Chillan Viejo";"Nuble";"Chillan Viejo";33827;"23";"79";"3.4";82
16;"Quillon";"Nuble";"Quillon";18777;"10";"34";"3.4";82
2;"Antofagasta";"Antofagasta";"Antofagasta";425725;"151";"513";"3.4";82
1;"Alto Hospicio";"Tarapaca";"Alto Hospicio";129999;"78";"264";"3.4";82
13;"Quinta Normal";"Metropolitana";"Quinta Normal";136368;"80";"270";"3.4";82
8;"Penco";"Biobio";"Penco";49865;"29";"97";"3.3";82
13;"Padre Hurtado";"Metropolitana";"Padre Hurtado";74188;"35";"117";"3.3";82
1;"Iquique";"Tarapaca";"Iquique";223463;"111";"370";"3.3";82
5;"Putaendo";"Valparaiso";"Putaendo";17645;"6";"20";"3.3";82
8;"Santa Juana";"Biobio";"Santa Juana";14779;"9";"30";"3.3";82
6;"Codegua";"Del Libertador General Bernardo OHiggins";"Codegua";14096;"3";"10";"3.3";82
13;"Huechuraba";"Metropolitana";"Huechuraba";112528;"56";"186";"3.3";82
13;"Pudahuel";"Metropolitana";"Pudahuel";253139;"144";"478";"3.3";82
9;"Freire";"La Araucania";"Freire";25446;"10";"33";"3.3";82
9;"Galvarino";"La Araucania";"Galvarino";12633;"10";"33";"3.3";82
9;"Temuco";"La Araucania";"Temuco";302931;"175";"575";"3.3";82
9;"Nueva Imperial";"La Araucania";"Nueva Imperial";33777;"23";"75";"3.3";82
9;"Melipeuco";"La Araucania";"Melipeuco";6265;"4";"13";"3.3";82
5;"Los Andes";"Valparaiso";"Los Andes";68093;"23";"74";"3.2";82
5;"Papudo";"Valparaiso";"Papudo";6201;"5";"16";"3.2";82
3;"Copiapo";"Atacama";"Copiapo";171766;"167";"532";"3.2";82
9;"Teodoro Schmidt";"La Araucania";"Teodoro Schmidt";15786;"23";"73";"3.2";82
14;"Los Lagos";"Los Rios";"Los Lagos";20518;"35";"111";"3.2";82
5;"Calera";"Valparaiso";"Calera";53591;"24";"76";"3.2";82
7;"Linares";"Maule";"Linares";101073;"60";"188";"3.1";82
6;"Requinoa";"Del Libertador General Bernardo OHiggins";"Requinoa";30371;"31";"97";"3.1";82
5;"Villa Alemana";"Valparaiso";"Villa Alemana";139310;"73";"228";"3.1";82
7;"Rio Claro";"Maule";"Rio Claro";14753;"9";"28";"3.1";82
16;"San Nicolas";"Nuble";"San Nicolas";12172;"9";"28";"3.1";82
5;"Santo Domingo";"Valparaiso";"Santo Domingo";11934;"18";"56";"3.1";82
3;"Caldera";"Atacama";"Caldera";19426;"19";"59";"3.1";82
13;"Buin";"Metropolitana";"Buin";109641;"90";"279";"3.1";82
4;"Illapel";"Coquimbo";"Illapel";32801;"12";"37";"3.1";82
3;"Chanaral";"Atacama";"Chanaral";13164;"12";"37";"3.1";82
16;"Chillan";"Nuble";"Chillan";198624;"104";"319";"3.1";82
7;"Teno";"Maule";"Teno";30850;"15";"46";"3.1";82
10;"Quellon";"Los Lagos";"Quellon";29309;"20";"61";"3.1";82
14;"Paillaco";"Los Rios";"Paillaco";20798;"23";"70";"3";82
8;"Lota";"Biobio";"Lota";45750;"32";"97";"3";82
NA;"";"";"";NA;"4508";"17478";"3.88";82
13;"Maipu";"Metropolitana";"Maipu";578605;"211";"635";"3";82
5;"Cabildo";"Valparaiso";"Cabildo";20663;"6";"18";"3";82
5;"El Quisco";"Valparaiso";"El Quisco";17742;"6";"18";"3";82
4;"Andacollo";"Coquimbo";"Andacollo";11791;"4";"12";"3";82
7;"Curepto";"Maule";"Curepto";9426;"1";"3";"3";82
6;"Paredones";"Del Libertador General Bernardo OHiggins";"Paredones";6349;"4";"12";"3";82
3;"Alto del Carmen";"Atacama";"Alto del Carmen";5729;"1";"3";"3";82
16;"Treguaco";"Nuble";"Treguaco";5696;"1";"3";"3";82
8;"Quilaco";"Biobio";"Quilaco";4179;"1";"3";"3";82
5;"Cartagena";"Valparaiso";"Cartagena";25357;"31";"92";"3";82
13;"Melipilla";"Metropolitana";"Melipilla";141612;"69";"203";"2.9";82
14;"Valdivia";"Los Rios";"Valdivia";176774;"200";"587";"2.9";82
7;"Parral";"Maule";"Parral";44544;"32";"93";"2.9";82
7;"Talca";"Maule";"Talca";236724;"144";"417";"2.9";82
3;"Vallenar";"Atacama";"Vallenar";57009;"51";"147";"2.9";82
13;"Conchali";"Metropolitana";"Conchali";139195;"83";"239";"2.9";82
5;"Concon";"Valparaiso";"Concon";45889;"29";"83";"2.9";82
5;"El Tabo";"Valparaiso";"El Tabo";14338;"7";"20";"2.9";82
7;"Pelarco";"Maule";"Pelarco";9083;"7";"20";"2.9";82
10;"Osorno";"Los Lagos";"Osorno";173410;"120";"342";"2.9";82
8;"Mulchen";"Biobio";"Mulchen";31041;"13";"37";"2.8";82
5;"La Ligua";"Valparaiso";"La Ligua";37739;"31";"88";"2.8";82
13;"Estacion Central";"Metropolitana";"Estacion Central";206792;"79";"224";"2.8";82
6;"San Fernando";"Del Libertador General Bernardo OHiggins";"San Fernando";78642;"30";"85";"2.8";82
7;"Cauquenes";"Maule";"Cauquenes";44143;"53";"149";"2.8";82
5;"San Felipe";"Valparaiso";"San Felipe";83494;"50";"140";"2.8";82
7;"Curico";"Maule";"Curico";163626;"38";"106";"2.8";82
14;"Lanco";"Los Rios";"Lanco";17652;"28";"78";"2.8";82
5;"Valparaiso";"Valparaiso";"Valparaiso";315732;"181";"504";"2.8";82
10;"Puerto Montt";"Los Lagos";"Puerto Montt";269398;"157";"433";"2.8";82
13;"Independencia";"Metropolitana";"Independencia";142065;"65";"179";"2.8";82
13;"Quilicura";"Metropolitana";"Quilicura";254694;"104";"286";"2.8";82
5;"Limache";"Valparaiso";"Limache";49931;"4";"11";"2.8";82
13;"Alhue";"Metropolitana";"Alhue";7405;"8";"22";"2.8";82
8;"Talcahuano";"Biobio";"Talcahuano";158345;"125";"342";"2.7";82
13;"Cerrillos";"Metropolitana";"Cerrillos";88956;"41";"112";"2.7";82
5;"Olmue";"Valparaiso";"Olmue";19266;"29";"79";"2.7";82
2;"San Pedro de Atacama";"Antofagasta";"San Pedro de Atacama";10434;"28";"76";"2.7";82
10;"Calbuco";"Los Lagos";"Calbuco";36744;"17";"46";"2.7";82
6;"San Vicente";"Del Libertador General Bernardo OHiggins";"San Vicente";50617;"20";"54";"2.7";82
8;"Tome";"Biobio";"Tome";58729;"23";"62";"2.7";82
13;"Lampa";"Metropolitana";"Lampa";126898;"38";"102";"2.7";82
10;"Ancud";"Los Lagos";"Ancud";42458;"15";"40";"2.7";82
13;"Curacavi";"Metropolitana";"Curacavi";36430;"20";"53";"2.7";82
13;"La Cisterna";"Metropolitana";"La Cisterna";100434;"37";"98";"2.6";82
7;"San Clemente";"Maule";"San Clemente";46292;"25";"66";"2.6";82
9;"Cholchol";"La Araucania";"Cholchol";12341;"11";"29";"2.6";82
13;"San Joaquin";"Metropolitana";"San Joaquin";103485;"58";"151";"2.6";82
16;"Coihueco";"Nuble";"Coihueco";28375;"5";"13";"2.6";82
16;"Bulnes";"Nuble";"Bulnes";22607;"5";"13";"2.6";82
9;"Curacautin";"La Araucania";"Curacautin";18178;"5";"13";"2.6";82
13;"Renca";"Metropolitana";"Renca";160847;"116";"299";"2.6";82
13;"Macul";"Metropolitana";"Macul";134635;"79";"202";"2.6";82
13;"Pedro Aguirre Cerda";"Metropolitana";"Pedro Aguirre Cerda";107803;"57";"145";"2.5";82
13;"Penalolen";"Metropolitana";"Penalolen";266798;"188";"478";"2.5";82
5;"Santa Maria";"Valparaiso";"Santa Maria";16367;"17";"43";"2.5";82
6;"Rancagua";"Del Libertador General Bernardo OHiggins";"Rancagua";265211;"127";"321";"2.5";82
10;"Llanquihue";"Los Lagos";"Llanquihue";18621;"21";"53";"2.5";82
7;"Maule";"Maule";"Maule";60000;"6";"15";"2.5";82
9;"Carahue";"La Araucania";"Carahue";25486;"8";"20";"2.5";82
7;"San Rafael";"Maule";"San Rafael";9959;"6";"15";"2.5";82
3;"Freirina";"Atacama";"Freirina";7681;"8";"20";"2.5";82
13;"La Florida";"Metropolitana";"La Florida";402433;"278";"694";"2.5";82
5;"La Cruz";"Valparaiso";"La Cruz";25321;"33";"82";"2.5";82
13;"Paine";"Metropolitana";"Paine";82766;"53";"131";"2.5";82
13;"Isla de Maipo";"Metropolitana";"Isla de Maipo";40171;"20";"49";"2.5";82
14;"Futrono";"Los Rios";"Futrono";15261;"64";"156";"2.4";82
7;"Colbun";"Maule";"Colbun";22565;"14";"34";"2.4";82
14;"Panguipulli";"Los Rios";"Panguipulli";35991;"147";"356";"2.4";82
13;"Maria Pinto";"Metropolitana";"Maria Pinto";14926;"22";"53";"2.4";82
5;"Hijuelas";"Valparaiso";"Hijuelas";19099;"5";"12";"2.4";82
13;"Recoleta";"Metropolitana";"Recoleta";190075;"87";"208";"2.4";82
13;"La Granja";"Metropolitana";"La Granja";122557;"118";"278";"2.4";82
13;"Santiago";"Metropolitana";"Santiago";503147;"258";"602";"2.3";82
13;"nunoa";"Metropolitana";"nunoa";250192;"70";"162";"2.3";82
14;"Rio Bueno";"Los Rios";"Rio Bueno";32925;"34";"78";"2.3";82
