fch_confirmado;txt_regionregistro;txt_nombreregion;id_region;txt_comuna;id_comuna;cant_poblacionregion;cant_poblacioncomuna;cant_casosconfirmados;cant_casosactivos;cant_defunciones;cant_fallecidos;porc_rcori;porc_dercori;cant_casosrecuperados;txt_cuarentenaactiva;txt_alcancecuarentena;num_cluster;num_mediacasosactivos;num_mediacasosconfirmados;num_mediarinstantaneocori;num_mediatasapositividad
2020-03-30;Coquimbo;05. Región de Coquimbo;4;Combarbala;4302;836096;13884;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Coquimbo;05. Región de Coquimbo;4;Monte Patria;4303;836096;32527;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Coquimbo;05. Región de Coquimbo;4;Punitaqui;4304;836096;12165;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Coquimbo;05. Región de Coquimbo;4;Rio Hurtado;4305;836096;4372;0;0;2;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Valparaiso;5101;1960170;315732;16;0;18;0;;;16;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Casablanca;5102;1960170;29170;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Concon;5103;1960170;45889;0;0;3;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Juan Fernandez;5104;1960170;1033;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Puchuncavi;5105;1960170;20071;0;0;3;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Quintero;5107;1960170;36135;0;0;2;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Vina del Mar;5109;1960170;361371;29;0;16;0;;;29;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Isla de Pascua;5201;1960170;8277;0;0;;0;;;0;Cuarentena Activa;Comuna Completa;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Los Andes;5301;1960170;68093;0;0;5;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Calle Larga;5302;1960170;16482;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Rinconada;5303;1960170;11263;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;San Esteban;5304;1960170;20643;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;La Ligua;5401;1960170;37739;0;0;4;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Cabildo;5402;1960170;20663;0;0;1;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Papudo;5403;1960170;6201;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Petorca;5404;1960170;10558;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
2020-03-30;Valparaíso;06. Región de Valparaíso;5;Zapallar;5405;1960170;7994;0;0;;0;;;0;Sin Cuarentena;Comuna Sin Cuarentena;;;;;
